----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.095 |         297.04 |     64 |
|    1 |        0.341 |         307.14 |    640 |
|    2 |        0.148 |         707.25 |    320 |
|    3 |        0.084 |         156.66 |    832 |
|    4 |        0.094 |         327.88 |    192 |
|    5 |        0.096 |          20.04 |    192 |
|    6 |        0.087 |         351.60 |    192 |
|    7 |        0.085 |         927.06 |   1024 |
|    8 |        0.752 |         836.70 |   1408 |
|    9 |        0.253 |        2487.25 |    576 |
|   10 |        0.165 |        1117.16 |    320 |
|   11 |        0.186 |          61.78 |    384 |
|   12 |        0.154 |        1195.23 |    320 |
|   13 |        0.486 |        1294.91 |    192 |
|   14 |        0.425 |        2970.30 |    448 |
|   15 |        1.158 |         789.55 |    832 |
|   16 |        0.551 |        2286.15 |    384 |
|   17 |        1.394 |        2031.26 |    512 |
|   18 |        0.949 |        2599.46 |    320 |
|   19 |        0.443 |        2794.63 |    896 |
|   20 |        0.852 |        1651.77 |   1472 |
|   21 |        0.524 |        2352.41 |    832 |
|   22 |        1.274 |        2177.17 |    448 |
|   23 |        0.963 |        2563.16 |    320 |
|   24 |        0.427 |        2920.19 |    576 |
|   25 |        0.958 |        1589.46 |   1088 |
|   26 |        0.513 |        2405.74 |    512 |
|   27 |        1.053 |        2634.27 |    384 |
|   28 |        0.709 |        3490.36 |    256 |
|   29 |        0.440 |        2865.04 |    512 |
|   30 |        1.441 |        1258.75 |   1408 |
|   31 |        0.470 |        2630.06 |    320 |
|   32 |        0.195 |        1606.50 |    128 |
|   33 |        0.376 |          57.54 |    128 |
|   34 |        0.886 |        3206.50 |    320 |
|   35 |        0.503 |        2468.91 |    192 |
|   36 |        0.736 |        3353.80 |    320 |
|   37 |        0.882 |        2797.25 |    320 |
|   38 |        1.067 |        2358.66 |    384 |
|   39 |        0.096 |           1.61 |    384 |
|   40 |        0.087 |           5.30 |    320 |
|   41 |        0.090 |           0.29 |    640 |
|   42 |        0.094 |           0.82 |    704 |
|   43 |        0.084 |          61.02 |    192 |
|   44 |        0.096 |           3.33 |    192 |
|   45 |        0.084 |          61.08 |    128 |
|   46 |        0.091 |          13.44 |     64 |
-------------------------------------------------
Estimated total latency: 65.825 ms	Trials: 22534	Used time : 44706 s	Next ID: 45
----------------------------------------------------------------------
