----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.003 |         178.24 |     64 |
|    1 |        0.055 |        1897.10 |    192 |
|    2 |        0.509 |        4844.76 |    320 |
|    3 |        0.245 |        5050.15 |    832 |
|    4 |        0.291 |        4333.49 |    384 |
|    5 |        0.245 |        5033.64 |    704 |
|    6 |        0.002 |         129.59 |     64 |
|    7 |        0.128 |         169.62 |    128 |
|    8 |        0.361 |        3896.10 |    960 |
|    9 |        0.143 |        4401.99 |    512 |
|   10 |        0.064 |        2905.39 |    320 |
|   11 |        0.386 |        3949.42 |    704 |
|   12 |        0.009 |        1390.02 |    192 |
|   13 |        0.587 |        4725.58 |    320 |
|   14 |        0.452 |        4013.67 |    768 |
|   15 |        0.243 |        5117.41 |    128 |
|   16 |        0.482 |        5117.74 |    320 |
|   17 |        0.018 |        1723.05 |    128 |
|   18 |        0.005 |         962.17 |     64 |
|   19 |        0.230 |        2740.90 |    128 |
|   20 |        0.343 |        2666.87 |    448 |
|   21 |        0.624 |        4034.22 |    384 |
|   22 |        0.240 |        5153.80 |    448 |
|   23 |        0.007 |         170.51 |     64 |
|   24 |        0.425 |        5808.70 |    256 |
|   25 |        0.092 |        1144.61 |    448 |
|   26 |        0.254 |        4971.59 |    448 |
|   27 |        0.469 |        5279.04 |    320 |
|   28 |        0.570 |        4863.49 |    320 |
|   29 |        0.008 |         247.21 |     64 |
|   30 |        0.765 |        3703.87 |    448 |
|   31 |        0.275 |        4593.87 |    512 |
|   32 |        0.035 |         875.14 |    128 |
|   33 |        0.236 |        5283.81 |    512 |
|   34 |        0.270 |        4582.11 |    320 |
|   35 |        0.503 |        4906.89 |    320 |
|   36 |        0.025 |         455.36 |    128 |
|   37 |        0.002 |          14.44 |     64 |
|   38 |        0.219 |        2868.78 |    768 |
|   39 |        0.510 |        5569.28 |    320 |
|   40 |        0.010 |         532.21 |     64 |
|   41 |        0.066 |        2807.89 |    256 |
|   42 |        0.040 |         706.82 |     64 |
|   43 |        0.002 |          66.41 |     64 |
|   44 |        0.002 |          39.29 |     64 |
|   45 |        0.080 |        3913.09 |     64 |
|   46 |        0.048 |        1648.45 |    960 |
-------------------------------------------------
Estimated total latency: 24.999 ms      Trials: 15430   Used time : 22499 s     Next ID: 15
