----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.002 |         202.77 |     64 |
|    1 |        0.066 |        1598.20 |    192 |
|    2 |        0.801 |        3081.16 |    448 |
|    3 |        0.026 |        1191.87 |    128 |
|    4 |        0.385 |        3222.87 |   1088 |
|    5 |        0.443 |        2840.51 |    448 |
|    6 |        0.449 |        2745.10 |   1088 |
|    7 |        0.208 |         104.12 |    128 |
|    8 |        0.529 |        2661.54 |   1280 |
|    9 |        0.231 |        2720.85 |    704 |
|   10 |        0.716 |        2126.24 |   1088 |
|   11 |        0.024 |         551.38 |    576 |
|   12 |        0.929 |        2985.54 |    512 |
|   13 |        0.911 |        1992.11 |   1344 |
|   14 |        0.711 |        3472.42 |    384 |
|   15 |        0.403 |        3083.69 |    256 |
|   16 |        0.003 |         110.97 |     64 |
|   17 |        0.256 |        2461.93 |    192 |
|   18 |        0.086 |        2166.92 |    320 |
|   19 |        0.701 |        1303.92 |    704 |
|   20 |        0.940 |        2679.56 |    512 |
|   21 |        0.379 |        3257.13 |    640 |
|   22 |        0.005 |         224.89 |     64 |
|   23 |        0.709 |        3483.14 |    384 |
|   24 |        0.110 |         951.61 |    320 |
|   25 |        0.406 |        3104.37 |    640 |
|   26 |        0.760 |        3254.73 |    384 |
|   27 |        1.082 |        2616.22 |    640 |
|   28 |        0.719 |        3857.84 |    384 |
|   29 |        0.404 |        3125.62 |    640 |
|   30 |        0.074 |        2482.58 |    320 |
|   31 |        0.386 |        3226.02 |    768 |
|   32 |        0.433 |        2853.33 |    512 |
|   33 |        0.828 |        2979.15 |    448 |
|   34 |        0.002 |          14.31 |     64 |
|   35 |        0.310 |        2032.63 |    960 |
|   36 |        0.034 |         336.40 |    128 |
|   37 |        0.757 |        3751.46 |    384 |
|   38 |        0.007 |         753.18 |     64 |
|   39 |        0.009 |         540.62 |     64 |
|   40 |        0.063 |         450.56 |     64 |
|   41 |        0.002 |          72.28 |     64 |
|   42 |        0.008 |         250.38 |     64 |
|   43 |        0.002 |          37.89 |     64 |
|   44 |        0.023 |        1364.14 |     64 |
|   45 |        0.108 |        2902.50 |    128 |
|   46 |        0.064 |        1225.28 |   1152 |
-------------------------------------------------
Estimated total latency: 38.985 ms      Trials: 20870   Used time : 34487 s     Next ID: 44
