----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.002 |         199.47 |     64 |
|    1 |        0.052 |        2035.75 |    192 |
|    2 |        0.555 |        4445.05 |    320 |
|    3 |        0.293 |        4235.20 |    768 |
|    4 |        0.298 |        4219.97 |    320 |
|    5 |        0.279 |        4423.61 |    576 |
|    6 |        0.002 |         129.96 |     64 |
|    7 |        0.087 |         250.07 |     64 |
|    8 |        0.434 |        3240.74 |   1024 |
|    9 |        0.192 |        3283.87 |    512 |
|   10 |        0.062 |        3031.69 |    192 |
|   11 |        0.463 |        3292.66 |    640 |
|   12 |        0.013 |        1026.48 |    192 |
|   13 |        0.749 |        3700.52 |    320 |
|   14 |        0.553 |        3279.13 |    704 |
|   15 |        0.501 |        4923.40 |    320 |
|   16 |        0.288 |        4309.75 |    128 |
|   17 |        0.019 |        1656.78 |     64 |
|   18 |        0.005 |         956.97 |     64 |
|   19 |        0.179 |        3523.50 |    128 |
|   20 |        0.390 |        2342.94 |    448 |
|   21 |        0.617 |        4081.38 |    320 |                                                                                                                  [128/18|   22 |        0.255 |        4850.06 |    384 |
|   23 |        0.007 |         165.02 |     64 |
|   24 |        0.472 |        5228.85 |    192 |
|   25 |        0.654 |        4242.16 |    320 |
|   26 |        0.260 |        4856.72 |    384 |
|   27 |        0.467 |        5292.80 |    256 |
|   28 |        0.125 |         836.13 |    320 |
|   29 |        0.007 |         258.30 |     64 |
|   30 |        0.957 |        2957.79 |    448 |
|   31 |        0.287 |        4403.59 |    384 |
|   32 |        0.041 |         746.70 |    128 |
|   33 |        0.209 |        5953.71 |    384 |
|   34 |        0.250 |        4951.15 |    320 |
|   35 |        0.531 |        4645.79 |    320 |
|   36 |        0.026 |         443.71 |    128 |
|   37 |        0.002 |          14.44 |     64 |
|   38 |        0.230 |        2739.16 |    640 |
|   39 |        0.591 |        4805.84 |    320 |
|   40 |        0.005 |        1000.63 |     64 |
|   41 |        0.075 |        2447.95 |    192 |
|   42 |        0.041 |         682.43 |     64 |
|   43 |        0.002 |          74.82 |     64 |
|   44 |        0.002 |          38.33 |     64 |
|   45 |        0.086 |        3641.21 |     64 |
|   46 |        0.048 |        1640.86 |    832 |
-------------------------------------------------
Estimated total latency: 27.742 ms      Trials: 13888   Used time : 37396 s     Next ID: 33
