|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------                                                                                                                         |    0 |        0.118 |         239.16 |     64 |
|    1 |        0.033 |         398.10 |    192 |
|    2 |        0.044 |         117.18 |     64 |
|    3 |        0.013 |          24.17 |     64 |
|    4 |        0.022 |         229.47 |     64 |
|    5 |        0.007 |           3.60 |     64 |
|    6 |        0.007 |          10.45 |     64 |
|    7 |        0.120 |         257.06 |    128 |
|    8 |        0.037 |          52.50 |     64 |
|    9 |        0.055 |         559.32 |     64 |
|   10 |        0.106 |         740.30 |    448 |
|   11 |        0.697 |         902.93 |    128 |
|   12 |        1.008 |        1252.34 |    384 |
|   13 |        2.218 |        1276.61 |    512 |
|   14 |        1.214 |        1037.22 |    320 |
|   15 |        2.463 |        1149.74 |    320 |
|   16 |        2.148 |        1148.18 |    256 |
|   17 |        1.037 |        1195.11 |    704 |

|   18 |        2.151 |        1289.32 |   1216 |                                                                                                                   [12/1963]
|   19 |        1.094 |        1127.56 |    576 |
|   20 |        2.834 |         978.72 |    320 |
|   21 |        2.039 |        1211.14 |    256 |
|   22 |        1.097 |        1135.82 |    512 |
|   23 |        2.126 |        1305.26 |    704 |
|   24 |        1.009 |        1223.40 |    384 |
|   25 |        2.381 |        1165.13 |    320 |
|   26 |        2.203 |        1123.15 |    256 |
|   27 |        1.118 |        1128.18 |    384 |
|   28 |        2.247 |        1235.86 |    704 |
|   29 |        1.115 |        1109.61 |    256 |
|   30 |        0.352 |         888.39 |     64 |
|   31 |        0.220 |          98.26 |     64 |
|   32 |        2.457 |        1156.66 |    320 |
|   33 |        1.202 |        1033.20 |    128 |
|   34 |        2.297 |        1075.05 |    320 |
|   35 |        2.247 |        1097.55 |    256 |
|   36 |        2.785 |         903.92 |    320 |
|   37 |        0.191 |         966.44 |    128 |
|   38 |        0.135 |          85.63 |    128 |
|   39 |        0.288 |         640.54 |    192 |
|   40 |        0.009 |          17.94 |     64 |
|   41 |        0.009 |          53.15 |     64 |
|   42 |        1.026 |         613.47 |    704 |
|   43 |        0.488 |        1288.27 |    320 |
|   44 |        0.375 |         279.50 |    320 |
|   45 |        0.137 |         766.20 |    128 |
|   46 |        0.044 |          27.77 |     64 |
|   47 |        0.142 |         552.32 |     64 |
-------------------------------------------------
Estimated total latency: 108.362 ms     Trials: 13440   Used time : 24492 s     Next ID: 16
