------------------------------  [ Task Scheduler ]
----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.635 |        7924.28 |    640 |
|    1 |        2.026 |        9746.78 |    384 |
|    2 |        2.111 |       10512.96 |    384 |
|    3 |        1.752 |       12669.47 |    896 |
|    4 |        0.192 |        4376.62 |    192 |
|    5 |        0.587 |        8575.95 |    640 |
|    6 |        0.923 |         187.75 |    192 |
|    7 |        0.944 |       10457.00 |    832 |
|    8 |        1.693 |       13108.82 |   1472 |
|    9 |        1.051 |        9447.46 |    256 |
|   10 |        1.861 |       10635.63 |    320 |
|   11 |        1.692 |        5963.68 |    832 |
|   12 |        0.924 |       10690.27 |    512 |
|   13 |        0.013 |        3153.53 |     64 |
|   14 |        1.953 |       11598.87 |    704 |
|   15 |        0.014 |          89.00 |     64 |
|   16 |        1.921 |       11564.59 |    960 |
|   17 |        2.136 |        9432.16 |    384 |                                                                                                                   [87/18|   18 |        1.059 |        9417.22 |    704 |                                                                                                                         |   19 |        0.031 |        3392.66 |    192 |
|   20 |        1.113 |        8888.55 |    384 |
|   21 |        0.085 |        7416.07 |    576 |
|   22 |        0.002 |         260.84 |     64 |
|   23 |        1.795 |       11002.32 |    320 |
|   24 |        1.975 |        9989.08 |    384 |
|   25 |        2.228 |        8854.83 |    384 |
|   26 |        2.669 |        8313.31 |    448 |
|   27 |        0.448 |        3288.19 |    512 |
|   28 |        2.192 |       10336.48 |    384 |
|   29 |        0.582 |        8645.92 |    128 |
|   30 |        0.014 |         264.10 |     64 |
|   31 |        1.009 |        9979.89 |    384 |
|   32 |        0.016 |         165.02 |     64 |
|   33 |        0.296 |        4987.31 |    320 |
|   34 |        0.066 |        3729.50 |     64 |
|   35 |        0.002 |          83.57 |     64 |
|   36 |        0.388 |        6454.03 |    128 |
|   37 |        0.017 |         582.99 |     64 |
|   38 |        0.456 |         202.17 |    448 |
|   39 |        0.120 |        6963.35 |    192 |
|   40 |        2.103 |       10808.13 |    448 |
|   41 |        0.078 |         197.77 |    128 |
|   42 |        0.017 |        2368.57 |     64 |
|   43 |        0.061 |        3723.23 |     64 |
|   44 |        0.909 |       11109.79 |    512 |
|   45 |        1.006 |        9851.59 |   1088 |
|   46 |        0.092 |        2670.28 |    128 |
-------------------------------------------------
Estimated total latency: 99.990 ms      Trials: 18310   Used time : 30889 s     Next ID: 17
----------------------------------------------------------------------
