------------------------------  [ Task Scheduler ]
----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.318 |        7758.02 |    256 |
|    1 |        0.067 |        4695.49 |     64 |
|    2 |        0.290 |        8517.70 |    192 |
|    3 |        0.050 |        2077.36 |    320 |
|    4 |        0.145 |        4327.36 |    640 |
|    5 |        0.118 |         184.25 |     64 |
|    6 |        0.284 |        8693.24 |    192 |
|    7 |        0.396 |        7002.15 |    320 |
|    8 |        0.178 |        6990.66 |    128 |
|    9 |        0.343 |        8278.56 |    256 |
|   10 |        0.218 |        5779.98 |    448 |
|   11 |        0.141 |        8750.17 |    192 |
|   12 |        0.006 |         867.35 |     64 |
|   13 |        0.318 |        4787.51 |    768 |
|   14 |        0.156 |        8062.21 |    320 |
|   15 |        0.002 |          73.72 |     64 |
|   16 |        0.323 |        7800.83 |    256 |
|   17 |        0.160 |        7796.91 |    448 |
|   18 |        0.008 |        1658.03 |    192 |
|   19 |        0.020 |        4016.53 |    512 |
|   20 |        0.002 |          45.52 |     64 |
|   21 |        0.363 |        7643.32 |    256 |
|   22 |        0.173 |        7147.71 |    640 |
|   23 |        0.309 |        7972.62 |    256 |
|   24 |        0.135 |        9130.12 |    320 |
|   25 |        0.054 |        3384.43 |    256 |
|   26 |        0.308 |        7995.51 |    256 |
|   27 |        0.240 |        5852.59 |    832 |
|   28 |        0.147 |        4290.23 |    128 |
|   29 |        0.002 |         216.86 |     64 |
|   30 |        0.334 |        8470.87 |    320 |
|   31 |        0.058 |        3177.70 |    256 |
|   32 |        0.003 |          93.03 |     64 |
|   33 |        0.016 |        1944.69 |     64 |
|   34 |        0.002 |          15.16 |     64 |
|   35 |        0.024 |        4413.44 |    128 |
|   36 |        0.244 |        3750.13 |    448 |
|   37 |        0.059 |         195.59 |    256 |
|   38 |        0.005 |         238.36 |     64 |
|   39 |        0.486 |        3730.28 |   1024 |
|   40 |        0.006 |         342.44 |     64 |
|   41 |        0.007 |         774.52 |     64 |
|   42 |        0.022 |        1281.56 |     64 |
|   43 |        0.132 |        9585.85 |    320 |
|   44 |        0.072 |        8754.17 |    384 |
|   45 |        0.137 |        9015.95 |    576 |
|   46 |        0.019 |        1636.78 |    128 |
-------------------------------------------------
Estimated total latency: 16.501 ms	Trials: 0	Used time : 82 s	Next ID: 5
