|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.006 |          73.62 |     64 |
|    1 |        0.126 |         834.77 |    128 |
|    2 |        2.135 |        1155.13 |    256 |
|    3 |        0.979 |        1265.61 |    640 |
|    4 |        1.060 |        1187.49 |    192 |
|    5 |        0.013 |          25.32 |     64 |
|    6 |        1.066 |        1157.35 |    512 |
|    7 |        0.724 |          29.93 |    128 |
|    8 |        1.394 |        1009.31 |    768 |
|    9 |        0.537 |        1170.74 |    320 |
|   10 |        0.308 |         608.72 |    256 |
|   11 |        2.225 |         684.48 |    768 |
|   12 |        0.035 |         373.72 |    128 |
|   13 |        3.679 |         753.75 |    448 |
|   14 |        3.334 |         544.18 |    960 |
|   15 |        1.508 |         823.31 |    192 |
|   16 |        2.382 |        1036.33 |    256 |
|   17 |        0.056 |         553.32 |     64 |
|   18 |        0.030 |         169.39 |     64 |
|   19 |        1.260 |         499.45 |    128 |
|   20 |        1.336 |         683.98 |    320 |
|   21 |        3.040 |         828.14 |    384 |
|   22 |        1.004 |        1229.04 |    384 |
|   23 |        0.028 |          43.22 |     64 |
|   24 |        2.138 |        1154.88 |    256 |
|   25 |        2.618 |        1059.85 |    320 |
|   26 |        1.524 |         827.30 |    448 |
|   27 |        1.923 |        1286.39 |    192 |
|   28 |        3.458 |         818.85 |    384 |
|   29 |        0.256 |         410.31 |    192 |
|   30 |        0.030 |          63.86 |     64 |
|   31 |        0.974 |        1295.92 |    320 |
|   32 |        0.155 |         198.31 |    128 |
|   33 |        1.085 |        1149.09 |    512 |
|   34 |        1.159 |        1067.24 |    256 |
|   35 |        0.252 |          45.69 |    192 |
|   36 |        2.597 |         949.61 |    320 |
|   37 |        0.003 |           8.22 |     64 |
|   38 |        0.624 |        1008.56 |    384 |
|   39 |        2.633 |        1079.15 |    320 |
|   40 |        0.027 |         190.73 |     64 |
|   41 |        0.329 |         560.45 |    192 |
|   42 |        0.055 |         515.44 |     64 |
|   43 |        0.006 |          25.88 |     64 |
|   44 |        0.003 |          22.57 |     64 |
|   45 |        0.590 |         530.51 |     64 |
|   46 |        0.085 |         925.97 |    320 |
-------------------------------------------------
Estimated total latency: 108.825 ms	Trials: 12614	Used time : 29004 s	Next ID: 4
