|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.016 |          28.02 |    256 |
|    1 |        0.185 |         567.72 |    128 |
|    2 |        3.386 |         728.55 |    320 |
|    3 |        1.137 |        1089.68 |    512 |
|    4 |        0.106 |         289.36 |     64 |
|    5 |        1.570 |         802.08 |    320 |
|    6 |        1.270 |         970.75 |    448 |
|    7 |        1.334 |          16.23 |    128 |
|    8 |        2.278 |         617.57 |    832 |
|    9 |        0.617 |        1019.55 |    256 |
|   10 |        3.780 |         403.01 |    832 |
|   11 |        0.041 |         319.47 |    128 |
|   12 |        4.328 |         640.77 |    320 |
|   13 |        7.513 |         241.49 |   1600 |
|   14 |        2.214 |         560.90 |    192 |
|   15 |        3.244 |         761.10 |    256 |
|   16 |        0.028 |          11.36 |     64 |
|   17 |        0.979 |         642.76 |    128 |
|   18 |        0.414 |         451.64 |    256 |
|   19 |        2.311 |         395.52 |    320 |
|   20 |        3.858 |         652.60 |    320 |
|   21 |        1.389 |         888.44 |    384 |
|   22 |        0.032 |          37.84 |     64 |
|   23 |        2.837 |         870.23 |    256 |
|   24 |        3.603 |         770.04 |    320 |
|   25 |        3.025 |         416.79 |    640 |
|   26 |        2.629 |         940.95 |    192 |
|   27 |        0.298 |         351.92 |    192 |
|   28 |        4.248 |         666.56 |    320 |
|   29 |        1.428 |         883.96 |    320 |
|   30 |        0.288 |         641.08 |    192 |
|   31 |        1.567 |         795.54 |    448 |
|   32 |        1.982 |         624.10 |    320 |
|   33 |        2.923 |         843.79 |    256 |
|   34 |        0.011 |           2.24 |     64 |
|   35 |        0.882 |         713.67 |    384 |
|   36 |        0.791 |          14.56 |    384 |
|   37 |        2.683 |        1059.18 |    256 |
|   38 |        0.024 |         212.17 |     64 |
|   39 |        0.043 |         120.26 |     64 |
|   40 |        0.098 |         287.78 |     64 |
|   41 |        0.024 |           6.45 |     64 |
|   42 |        0.060 |          31.87 |     64 |
|   43 |        0.012 |           6.30 |     64 |
|   44 |        0.844 |         370.52 |     64 |
|   45 |        0.131 |         237.44 |     64 |
|   46 |        0.122 |         646.44 |    384 |
-------------------------------------------------
Estimated total latency: 163.562 ms	Trials: 3782	Used time : 9659 s	Next ID: 9
----------------------------------------------------------------------
