|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.017 |          27.77 |     64 |
|    1 |        0.138 |         762.04 |    128 |
|    2 |        2.339 |        1054.59 |    320 |
|    3 |        1.118 |        1108.52 |    640 |
|    4 |        1.546 |         814.31 |    320 |
|    5 |        1.171 |        1053.04 |    640 |
|    6 |        0.027 |          12.03 |     64 |
|    7 |        0.587 |          36.91 |     64 |
|    8 |        0.854 |        1646.64 |    768 |
|    9 |        0.494 |        1274.51 |    320 |
|   10 |        0.373 |         501.22 |    320 |
|   11 |        2.294 |         663.95 |    704 |
|   12 |        0.037 |         353.49 |    192 |
|   13 |        4.333 |         640.06 |    384 |
|   14 |        3.653 |         496.73 |   1024 |
|   15 |        1.579 |         786.61 |    192 |
|   16 |        2.547 |         969.18 |    256 |
|   17 |        0.073 |         427.60 |     64 |
|   18 |        0.029 |         176.58 |     64 |
|   19 |        0.830 |         757.74 |    128 |
|   20 |        1.533 |         596.17 |    320 |
|   21 |        2.548 |         988.15 |    320 |
|   22 |        1.314 |         939.43 |    384 |
|   23 |        0.029 |          41.83 |     64 |
|   24 |        2.641 |         934.85 |    320 |
|   25 |        0.221 |         474.30 |    192 |
|   26 |        1.518 |         830.53 |    448 |
|   27 |        2.791 |         886.41 |    256 |
|   28 |        3.486 |         795.97 |    320 |
|   29 |        5.353 |         528.98 |    512 |
|   30 |        0.057 |          33.60 |     64 |
|   31 |        1.469 |         859.27 |    448 |
|   32 |        0.124 |         248.57 |     64 |
|   33 |        1.265 |         985.17 |    576 |
|   34 |        1.407 |         878.87 |    320 |
|   35 |        0.366 |          31.44 |    192 |
|   36 |        3.953 |         623.96 |    384 |
|   37 |        0.012 |           2.17 |     64 |
|   38 |        0.448 |        1404.24 |    384 |
|   39 |        3.534 |         804.07 |    320 |
|   40 |        0.037 |         138.64 |     64 |
|   41 |        0.234 |         788.49 |    192 |
|   42 |        0.065 |         432.43 |     64 |
|   43 |        0.016 |           9.92 |     64 |
|   44 |        0.012 |           6.61 |     64 |
|   45 |        0.460 |         680.26 |     64 |
|   46 |        0.086 |         910.91 |    320 |
-------------------------------------------------
Estimated total latency: 119.976 ms	Trials: 13440	Used time : 34828 s	Next ID: 32
