----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |       12.120 |         250.10 |    192 |
|    1 |        2.000 |          11.52 |     64 |
|    2 |        3.030 |         109.84 |     64 |
|    3 |       10.805 |         273.42 |    448 |
|    4 |        6.332 |         208.63 |    128 |
|    5 |        5.903 |         227.24 |    320 |
|    6 |        5.074 |         259.34 |    192 |
|    7 |       10.270 |         256.24 |    192 |
|    8 |       11.841 |         249.27 |    192 |
|    9 |       10.367 |         253.35 |    192 |
|   10 |        5.432 |         244.12 |    320 |
|   11 |        4.960 |         264.79 |    256 |
|   12 |        5.750 |         206.79 |    320 |
|   13 |        9.944 |         264.14 |    192 |
|   14 |       11.670 |         252.83 |    192 |
|   15 |        9.945 |         263.85 |    192 |
|   16 |        5.224 |         252.36 |    448 |
|   17 |        4.849 |         270.60 |    384 |
|   18 |        4.534 |         229.77 |    384 |
|   19 |        9.750 |         269.13 |    192 |
|   20 |       13.992 |         210.81 |    192 |
|   21 |       10.254 |         255.78 |    192 |
|   22 |        5.094 |         258.04 |    256 |
|   23 |        5.122 |         256.03 |    192 |
|   24 |       10.733 |         274.82 |    320 |
|   25 |        2.699 |         242.87 |     64 |
|   26 |        5.049 |         259.85 |    128 |
|   27 |       10.236 |         256.61 |    192 |
|   28 |       20.617 |         255.30 |    320 |
|   29 |       70.306 |         219.06 |    960 |
|   30 |       67.449 |         228.49 |    896 |
|   31 |        2.088 |         117.92 |     64 |
|   32 |       18.271 |         210.72 |    320 |
|   33 |       17.600 |         218.90 |    320 |
|   34 |        0.432 |         142.63 |     64 |
|   35 |        6.188 |         168.24 |    128 |
|   36 |        0.096 |         160.59 |     64 |
|   37 |        1.971 |         153.10 |     64 |
|   38 |        1.960 |         154.09 |     64 |
|   39 |        0.024 |         160.17 |     64 |
|   40 |        0.002 |          21.43 |     64 |
|   41 |        0.784 |         125.67 |     64 |
|   42 |        0.010 |         102.14 |     64 |
|   43 |        1.573 |          39.14 |     64 |
|   44 |        0.292 |          52.66 |     64 |
|   45 |        0.050 |          76.93 |     64 |
|   46 |        0.017 |          56.48 |     64 |
|   47 |        0.004 |          60.14 |     64 |
|   48 |        0.000 |           0.27 |     64 |
|   49 |        0.000 |           0.13 |     64 |
|   50 |        0.000 |           0.39 |     64 |
|   51 |        0.000 |           0.49 |     64 |
-------------------------------------------------
Estimated total latency: 593.147 ms	Trials: 10208	Used time : 18795 s	Next ID: 30
----------------------------------------------------------------------
