----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        2.174 |        1394.22 |    192 |
|    1 |        0.233 |          99.00 |     64 |
|    2 |        0.354 |         939.23 |     64 |
|    3 |        2.213 |        1335.16 |    448 |
|    4 |        1.049 |        1259.72 |    128 |
|    5 |        0.981 |        1367.44 |    192 |
|    6 |        1.076 |        1223.03 |    192 |
|    7 |        2.564 |        1026.39 |    192 |
|    8 |        3.031 |         973.83 |    192 |
|    9 |        3.198 |         821.19 |    256 |
|   10 |        1.029 |        1289.18 |    320 |
|   11 |        1.105 |        1188.67 |    192 |
|   12 |        2.459 |        1200.29 |    448 |
|   13 |        1.874 |        1401.93 |    128 |
|   14 |        3.009 |         980.67 |    192 |
|   15 |        2.474 |        1060.70 |    192 |
|   16 |        0.935 |        1409.65 |    384 |
|   17 |        1.282 |        1023.36 |    448 |
|   18 |        2.641 |        1117.33 |    960 |
|   19 |        2.273 |        1154.17 |    192 |
|   20 |        3.421 |         862.28 |    256 |                                                                                                                   [13/1952]
|   21 |        3.009 |         871.68 |    192 |
|   22 |        1.205 |        1090.59 |    256 |
|   23 |        1.541 |         851.09 |    192 |
|   24 |        2.629 |        1122.21 |    384 |
|   25 |        0.916 |         715.44 |    128 |
|   26 |        1.323 |         991.38 |    128 |
|   27 |        1.881 |        1396.61 |    128 |
|   28 |        4.609 |        1141.90 |    320 |
|   29 |       29.438 |        1603.24 |   1792 |
|   30 |       29.595 |        1595.06 |   1728 |
|   31 |        0.434 |         567.03 |     64 |
|   32 |        9.138 |        1291.17 |    576 |
|   33 |        9.116 |        1294.54 |    576 |
|   34 |        0.100 |         613.55 |     64 |
|   35 |        2.481 |        1188.77 |    192 |
|   36 |        0.040 |         387.03 |     64 |
|   37 |        1.074 |         686.86 |     64 |
|   38 |        0.865 |         853.03 |    128 |
|   39 |        0.051 |          75.50 |     64 |
|   40 |        0.008 |           5.19 |     64 |
|   41 |        0.578 |         345.30 |     64 |
|   42 |        0.035 |          29.38 |     64 |
|   43 |        0.262 |         234.90 |     64 |
|   44 |        0.076 |         202.56 |     64 |
|   45 |        0.054 |          70.73 |     64 |
|   46 |        0.045 |          21.17 |     64 |
|   47 |        0.041 |           6.32 |     64 |
|   48 |        0.006 |           0.00 |     64 |
|   49 |        0.006 |           0.00 |     64 |
|   50 |        0.006 |           0.00 |     64 |
|   51 |        0.006 |           0.00 |     64 |
|   52 |        0.006 |           0.00 |     64 |
|   53 |        0.006 |           0.00 |     64 |
----------------------------------------------------------------------
Estimated total latency: 188.388 ms     Trials: 13200   Used time : 32818 s     Next ID: 20
----------------------------------------------------------------------
