----------------------------------------------------------------------
|  ID  | Latency (ms) | Speed (GFLOPS) | Trials |
-------------------------------------------------
|    0 |        0.960 |        3157.25 |    448 |
|    1 |        0.391 |          58.93 |    192 |
|    2 |        0.224 |        1485.45 |    192 |
|    3 |        1.543 |        1063.51 |   2176 |
|    4 |        0.549 |        2406.80 |    256 |
|    5 |        0.593 |        2263.25 |    832 |
|    6 |        0.534 |        2462.19 |    512 |
|    7 |        0.765 |        3438.00 |    384 |
|    8 |        1.107 |        2665.27 |    512 |
|    9 |        0.867 |        3028.63 |    448 |
|   10 |        0.399 |        3324.26 |    768 |
|   11 |        0.485 |        2707.21 |    704 |
|   12 |        1.045 |        1550.00 |   1472 |
|   13 |        0.818 |        3210.99 |    384 |
|   14 |        1.073 |        2750.42 |    512 |
|   15 |        0.853 |        3076.96 |    448 |
|   16 |        0.487 |        2707.77 |   1344 |
|   17 |        0.499 |        2626.94 |   1152 |
|   18 |        0.853 |        1717.63 |   2368 |
|   19 |        1.020 |        2572.80 |    512 |
|   20 |        1.429 |        2064.10 |    704 |
|   21 |        1.461 |        1795.20 |    704 |
|   22 |        0.543 |        2419.46 |    768 |
|   23 |        0.665 |        1971.32 |    640 |
|   24 |        0.913 |        1644.45 |    896 |
|   25 |        0.503 |        1303.31 |    256 |
|   26 |        0.602 |        2179.30 |    320 |
|   27 |        0.795 |        3305.21 |    384 |
|   28 |        1.417 |        3714.64 |    704 |
|   29 |        8.012 |        1922.18 |   1856 |
|   30 |        8.125 |        1896.79 |   1856 |
|   31 |        0.323 |         762.75 |    192 |
|   32 |        2.626 |        2231.20 |   1216 |
|   33 |        3.134 |        1870.38 |   1472 |
|   34 |        0.147 |         420.04 |    128 |
|   35 |        1.073 |        1365.83 |    512 |
|   36 |        0.094 |         163.60 |     64 |
|   37 |        0.531 |         745.52 |    256 |
|   38 |        0.634 |         624.75 |    320 |
|   39 |        0.083 |          46.37 |     64 |
|   40 |        0.086 |           0.50 |     64 |
|   41 |        0.453 |         253.69 |    256 |
|   42 |        0.083 |          12.51 |     64 |
|   43 |        0.386 |         159.48 |    192 |
|   44 |        0.151 |         101.64 |    128 |
|   45 |        0.094 |          40.79 |     64 |
|   46 |        0.093 |          10.36 |     64 |
|   47 |        0.089 |           2.92 |     64 |
|   48 |        0.094 |           0.00 |     64 |
|   49 |        0.094 |           0.00 |     64 |
|   50 |        0.084 |           0.00 |     64 |
|   51 |        0.084 |           0.00 |     64 |
-------------------------------------------------
Estimated total latency: 77.728 ms	Trials: 28743	Used time : 72659 s	Next ID: 16
