#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_nn_dense_add_nn_relu    	1         	637184/637184/637184/637184
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_20	4         	194351/48587.7/48520.2/48725.6
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_16	1         	133321/133321/133321/133321
fused_nn_contrib_conv2d_NCHWc_add_5	1         	132582/132582/132582/132582
fused_nn_conv2d_transpose_add_nn_relu	1         	128719/128719/128719/128719
fused_scatter_3               	4         	82300.4/20575.1/17616.2/25421.9
fused_nn_dense_add_nn_relu_1  	1         	60780.7/60780.7/60780.7/60780.7
fused_expand_dims_concatenate_1	58        	51928.6/895.321/27.067/1839.09
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_11	6         	46354.5/7725.75/7461.36/7815.73
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_17	1         	32500.8/32500.8/32500.8/32500.8
fused_nn_contrib_conv2d_NCHWc_add_7	1         	32435.3/32435.3/32435.3/32435.3
fused_nn_contrib_conv2d_NCHWc_add_add_2	1         	31105.1/31105.1/31105.1/31105.1
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_10	5         	26876.8/5375.36/4804.65/6192.21
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_2	3         	26164.6/8721.53/8588.78/8797.32
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_2	6         	25865.1/4310.86/4273.86/4341.19
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu	3         	24773.9/8257.95/7882.62/8987.83
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_7	3         	23925.9/7975.31/7816.27/8067.42
fused_nn_contrib_conv2d_NCHWc_add_1	1         	23271.1/23271.1/23271.1/23271.1
fused_nn_contrib_conv2d_NCHWc_add_2	1         	22536.2/22536.2/22536.2/22536.2
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_6	3         	22343.2/7447.73/7317.37/7571.26
fused_nn_dense_add_1          	1         	22113.3/22113.3/22113.3/22113.3
fused_vision_roi_align        	1         	21274.3/21274.3/21274.3/21274.3
fused_vision_non_max_suppression	2         	20628.6/10314.3/171.369/20457.3
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_1	4         	20073.3/5018.34/4977.86/5068.22
fused_scatter_4               	4         	18397.4/4599.34/3834.8/6356.56
fused_nn_contrib_conv2d_NCHWc_add_3	1         	15879/15879/15879/15879
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_15	2         	15435.3/7717.65/7717.64/7717.65
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_3	2         	15360.3/7680.16/7677.39/7682.93
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_4	1         	15335.2/15335.2/15335.2/15335.2
fused_dyn_full_1              	2         	15178.5/7589.24/2492.15/12686.3
fused_nn_contrib_conv2d_NCHWc_add_19	1         	15119.8/15119.8/15119.8/15119.8
fused_nn_contrib_conv2d_NCHWc_add_add_1	1         	14809.2/14809.2/14809.2/14809.2
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_8	1         	14756.8/14756.8/14756.8/14756.8
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_3	3         	12837.2/4279.07/4221.77/4322.66
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_5	1         	12391.6/12391.6/12391.6/12391.6
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_12	1         	10583.5/10583.5/10583.5/10583.5
fused_nn_contrib_conv2d_NCHWc_add_nn_relu	1         	10097.3/10097.3/10097.3/10097.3
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_9	1         	10076.8/10076.8/10076.8/10076.8
fused_topk                    	1         	9992.14/9992.14/9992.14/9992.14
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_14	2         	9468.95/4734.48/4718.89/4750.07
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_13	1         	8820.36/8820.36/8820.36/8820.36
fused_nn_contrib_conv2d_NCHWc_add	1         	7833.9/7833.9/7833.9/7833.9
fused_layout_transform_44     	1         	7750.22/7750.22/7750.22/7750.22
fused_nn_contrib_conv2d_NCHWc_add_9	1         	7683.29/7683.29/7683.29/7683.29
fused_reshape_reshape_concatenate_1	58        	7267.65/125.304/96.988/139.006
fused_vision_roi_align_1      	1         	6928.15/6928.15/6928.15/6928.15
fused_reshape_squeeze         	1         	6381.34/6381.34/6381.34/6381.34
fused_vision_roi_align_4      	1         	6129.05/6129.05/6129.05/6129.05
fused_nn_contrib_conv2d_NCHWc_add_add	1         	5808.68/5808.68/5808.68/5808.68
fused_layout_transform_39     	1         	5797.53/5797.53/5797.53/5797.53
fused_nn_dense_add            	1         	5517.25/5517.25/5517.25/5517.25
fused_dyn_strided_slice_1     	243       	4552.31/18.7338/1.904/115.776
fused_layout_transform_34     	1         	4350.14/4350.14/4350.14/4350.14
fused_layout_transform_50     	1         	4028.74/4028.74/4028.74/4028.74
fused_dyn_strided_slice_6     	5         	3735.27/747.053/364.543/1943.55
fused_reshape_repeat_repeat_repeat	4         	2982.48/745.619/50.986/1910.97
fused_nn_contrib_conv2d_NCHWc_add_6	1         	2448.26/2448.26/2448.26/2448.26
fused_vision_roi_align_2      	1         	2362.04/2362.04/2362.04/2362.04
fused_layout_transform_image_resize_layout_transform_2	1         	2355.1/2355.1/2355.1/2355.1
fused_nn_contrib_conv2d_NCHWc_add_4	1         	2353.82/2353.82/2353.82/2353.82
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_1	1         	2026.25/2026.25/2026.25/2026.25
fused_nn_contrib_conv2d_NCHWc_add_14	1         	2018.1/2018.1/2018.1/2018.1
fused_topk_1                  	1         	1979/1979/1979/1979
fused_nn_max_pool2d           	1         	1936.26/1936.26/1936.26/1936.26
fused_dyn_full                	232       	1848.61/7.96813/0.158/26.358
fused_nn_contrib_conv2d_NCHWc_add_11	1         	1845.12/1845.12/1845.12/1845.12
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_18	1         	1819.56/1819.56/1819.56/1819.56
fused_expand_dims_26          	2         	1782.47/891.234/9.867/1772.6
fused_layout_transform_51     	1         	1323.3/1323.3/1323.3/1323.3
fused_vision_roi_align_5      	1         	1297.13/1297.13/1297.13/1297.13
fused_layout_transform_45     	1         	1294.83/1294.83/1294.83/1294.83
fused_split_squeeze_subtract_divide_expand_dims_image_resize_take_nn_pad_stack_l_12908368525632877004_	1         	1224.32/1224.32/1224.32/1224.32
fused_divide_expand_dims_multiply_expand_dims_add_divide_clip_exp_expand_dims_mu_4615394520124750845_	1         	1187.11/1187.11/1187.11/1187.11
