#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_nn_dense_add_nn_relu    	1         	674707/674707/674707/674707
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_20	4         	200148/50037.1/49152/51758.8
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_16	1         	140844/140844/140844/140844
fused_nn_contrib_conv2d_NCHWc_add_5	1         	140190/140190/140190/140190
fused_nn_conv2d_transpose_add_nn_relu	1         	131374/131374/131374/131374
fused_scatter_3               	4         	83689.8/20922.5/18356.7/26052.8
fused_nn_dense_add_nn_relu_1  	1         	63366.4/63366.4/63366.4/63366.4
fused_expand_dims_concatenate_1	59        	54731.2/927.647/27.105/2169.94
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_11	6         	49402.8/8233.81/7987.87/8310.01
fused_nn_contrib_conv2d_NCHWc_add_7	1         	33638.2/33638.2/33638.2/33638.2
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_17	1         	33544.6/33544.6/33544.6/33544.6
fused_nn_contrib_conv2d_NCHWc_add_add_2	1         	32596.9/32596.9/32596.9/32596.9
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_2	3         	28048.5/9349.5/9206.6/9429.62
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_2	6         	27910.4/4651.73/4552.05/5105.6
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_10	5         	26807.8/5361.55/4863.72/5843.33
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_7	3         	25623.4/8541.14/8396.82/8617.74
fused_nn_contrib_conv2d_NCHWc_add_1	1         	24820.6/24820.6/24820.6/24820.6
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu	3         	24644.5/8214.84/7849.43/8424.28
fused_vision_roi_align        	1         	23477.4/23477.4/23477.4/23477.4
fused_nn_dense_add_1          	1         	23407.4/23407.4/23407.4/23407.4
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_6	3         	22526.5/7508.85/7381.22/7714.35
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_1	4         	21114.7/5278.68/5207.85/5344.22
fused_nn_contrib_conv2d_NCHWc_add_2	1         	21101/21101/21101/21101
fused_scatter_4               	4         	18686.7/4671.67/3903.14/6421.01
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_3	2         	15950.6/7975.29/7940.08/8010.49
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_4	1         	15834.9/15834.9/15834.9/15834.9
fused_dyn_full_1              	2         	15493.4/7746.72/2593.73/12899.7
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_15	2         	15421.7/7710.86/7709.22/7712.51
fused_nn_contrib_conv2d_NCHWc_add_19	1         	15198.8/15198.8/15198.8/15198.8
fused_nn_contrib_conv2d_NCHWc_add_add_1	1         	15065.3/15065.3/15065.3/15065.3
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_8	1         	14642.8/14642.8/14642.8/14642.8
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_3	3         	12686.1/4228.7/4202.68/4259.3
fused_nn_contrib_conv2d_NCHWc_add_3	1         	12618.2/12618.2/12618.2/12618.2
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_5	1         	12542.7/12542.7/12542.7/12542.7
fused_nn_contrib_conv2d_NCHWc_add_nn_relu	1         	11079.4/11079.4/11079.4/11079.4
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_9	1         	10360.8/10360.8/10360.8/10360.8
fused_topk                    	1         	10005.3/10005.3/10005.3/10005.3
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_14	2         	9459.5/4729.75/4721.22/4738.28
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_12	1         	9341.97/9341.97/9341.97/9341.97
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_13	1         	8933.43/8933.43/8933.43/8933.43
fused_nn_contrib_conv2d_NCHWc_add_9	1         	8199.73/8199.73/8199.73/8199.73
fused_layout_transform_44     	1         	7698.7/7698.7/7698.7/7698.7
fused_nn_contrib_conv2d_NCHWc_add	1         	7448.75/7448.75/7448.75/7448.75
fused_reshape_reshape_concatenate_1	59        	7428.54/125.907/98.556/198.457
fused_vision_roi_align_1      	1         	7240.21/7240.21/7240.21/7240.21
fused_vision_roi_align_4      	1         	6967.66/6967.66/6967.66/6967.66
fused_reshape_squeeze         	1         	6379.16/6379.16/6379.16/6379.16
fused_layout_transform_39     	1         	5503.43/5503.43/5503.43/5503.43
fused_nn_dense_add            	1         	5476.52/5476.52/5476.52/5476.52
fused_vision_non_max_suppression	2         	5334.14/2667.07/221.769/5112.37
fused_nn_contrib_conv2d_NCHWc_add_add	1         	4995.68/4995.68/4995.68/4995.68
fused_dyn_strided_slice_1     	247       	4633.11/18.7575/1.916/113.184
fused_layout_transform_34     	1         	4383.97/4383.97/4383.97/4383.97
fused_layout_transform_50     	1         	4023.01/4023.01/4023.01/4023.01
fused_dyn_strided_slice_6     	5         	3790.17/758.034/371.417/1970.36
fused_reshape_repeat_repeat_repeat	4         	2983.68/745.92/34.513/2084.08
fused_nn_contrib_conv2d_NCHWc_add_6	1         	2434.18/2434.18/2434.18/2434.18
fused_nn_contrib_conv2d_NCHWc_add_4	1         	2413.55/2413.55/2413.55/2413.55
fused_layout_transform_image_resize_layout_transform_2	1         	2339.33/2339.33/2339.33/2339.33
fused_nn_contrib_conv2d_NCHWc_add_14	1         	2042.84/2042.84/2042.84/2042.84
fused_nn_max_pool2d           	1         	1984.25/1984.25/1984.25/1984.25
fused_topk_1                  	1         	1969.92/1969.92/1969.92/1969.92
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_1	1         	1944.15/1944.15/1944.15/1944.15
fused_expand_dims_25          	2         	1899.24/949.621/17.139/1882.1
fused_dyn_full                	236       	1893.46/8.02312/0.157/28.661
fused_vision_roi_align_2      	1         	1890.72/1890.72/1890.72/1890.72
fused_nn_contrib_conv2d_NCHWc_add_11	1         	1849.12/1849.12/1849.12/1849.12
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_18	1         	1830.47/1830.47/1830.47/1830.47
fused_split_squeeze_subtract_divide_expand_dims_image_resize_take_nn_pad_stack_l_12908368525632877004_	1         	1712.42/1712.42/1712.42/1712.42
fused_layout_transform_45     	1         	1422.77/1422.77/1422.77/1422.77
fused_layout_transform_51     	1         	1353.23/1353.23/1353.23/1353.23
fused_vision_roi_align_5      	1         	1311.31/1311.31/1311.31/1311.31
fused_divide_expand_dims_multiply_expand_dims_add_divide_clip_exp_expand_dims_mu_4615394520124750845_	1         	1193.59/1193.59/1193.59/1193.59
fused_layout_transform_48     	1         	1043.95/1043.95/1043.95/1043.95
fused_layout_transform_49     	1         	974.042/974.042/974.042/974.042
fused_layout_transform_35     	1         	926.126/926.126/926.126/926.126
fused_layout_transform_40     	1         	904.944/904.944/904.944/904.944
fused_reshape_repeat_repeat_repeat_1	4         	852.754/213.188/0.136/726.352
fused_reshape_reshape_concatenate	59        	795.577/13.4844/4.568/58.742
fused_layout_transform_reshape_transpose_reshape_layout_transform_reshape_transp_13381633112789344475_	1         	727.707/727.707/727.707/727.707
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_19	1         	579.116/579.116/579.116/579.116
