#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_20	4         	241381/60345.3/49117.6/69969.9
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_16	1         	133450/133450/133450/133450
fused_nn_contrib_conv2d_NCHWc_add_5	1         	133423/133423/133423/133423
fused_nn_conv2d_transpose_add_nn_relu	1         	131841/131841/131841/131841
fused_scatter_3               	4         	82016.5/20504.1/17529.2/26058.4
fused_nn_dense_add_nn_relu    	1         	73278.7/73278.7/73278.7/73278.7
fused_expand_dims_concatenate_1	59        	54725.7/927.554/27.975/1857.19
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_11	6         	47036.9/7839.49/7693.51/7880.14
fused_nn_contrib_conv2d_NCHWc_add_7	1         	31856.2/31856.2/31856.2/31856.2
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_17	1         	31788.4/31788.4/31788.4/31788.4
fused_nn_contrib_conv2d_NCHWc_add_add_2	1         	30231.4/30231.4/30231.4/30231.4
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_2	3         	26420/8806.66/8619.9/8903.24
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_2	6         	25717.8/4286.3/4257.99/4328.04
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_10	5         	25518.6/5103.71/4935.49/5314.77
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu	3         	24243.2/8081.06/8033.26/8157.02
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_7	3         	24051.8/8017.28/7847.45/8107.91
fused_nn_contrib_conv2d_NCHWc_add_1	1         	23685.3/23685.3/23685.3/23685.3
fused_vision_roi_align        	1         	23469.3/23469.3/23469.3/23469.3
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_6	3         	23276.2/7758.73/7627.15/8002.33
fused_scatter_4               	4         	22383.3/5595.84/4423.76/8165.73
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_1	4         	19909.6/4977.39/4931.05/5028.9
fused_nn_contrib_conv2d_NCHWc_add_2	1         	18482.7/18482.7/18482.7/18482.7
fused_dyn_full_1              	2         	15906.4/7953.22/3256.93/12649.5
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_3	2         	15707.1/7853.56/7848.72/7858.4
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_4	1         	15670.4/15670.4/15670.4/15670.4
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_15	2         	15402.3/7701.15/7697.21/7705.1
fused_nn_contrib_conv2d_NCHWc_add_19	1         	15155.9/15155.9/15155.9/15155.9
fused_nn_contrib_conv2d_NCHWc_add_add_1	1         	14626.3/14626.3/14626.3/14626.3
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_8	1         	14430.3/14430.3/14430.3/14430.3
fused_nn_contrib_conv2d_NCHWc_add_3	1         	13012.9/13012.9/13012.9/13012.9
fused_nn_contrib_conv2d_NCHWc_add_add_nn_relu_3	3         	12949.5/4316.5/4278.81/4335.39
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_5	1         	12575.5/12575.5/12575.5/12575.5
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_9	1         	10347.2/10347.2/10347.2/10347.2
fused_nn_contrib_conv2d_NCHWc_add_nn_relu	1         	10207.8/10207.8/10207.8/10207.8
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_12	1         	9894.2/9894.2/9894.2/9894.2
fused_vision_roi_align_4      	1         	9831.06/9831.06/9831.06/9831.06
fused_topk                    	1         	9740.89/9740.89/9740.89/9740.89
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_14	2         	9390.14/4695.07/4656.1/4734.04
fused_nn_contrib_conv2d_NCHWc_add_nn_relu_13	1         	8847.22/8847.22/8847.22/8847.22
fused_nn_contrib_conv2d_NCHWc_add_9	1         	7904.21/7904.21/7904.21/7904.21
fused_reshape_reshape_concatenate_1	59        	7361.44/124.77/97.692/139.051
