#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_split_squeeze_subtract_divide_expand_dims_image_resize_take_nn_pad_stack	1         	1.12942e+07/1.12942e+07/1.12942e+07/1.12942e+07
fused_nn_dense_add_nn_relu    	1         	243080/243080/243080/243080
fused_expand_dims_concatenate_1	58        	48152.9/830.222/40.054/16174.5
fused_nn_conv2d_add_nn_relu_11	6         	24429/4071.49/4062.69/4074.39
fused_nn_conv2d_add_nn_relu_16	1         	23990.5/23990.5/23990.5/23990.5
fused_nn_conv2d_add_5         	1         	23859.3/23859.3/23859.3/23859.3
fused_nn_conv2d_add_nn_relu_20	4         	23839.4/5959.85/3664.64/12770.1
fused_nn_conv2d_transpose_add_nn_relu	1         	23371.7/23371.7/23371.7/23371.7
fused_nn_dense_add_nn_relu_1  	1         	19105.2/19105.2/19105.2/19105.2
fused_nn_conv2d_add_nn_relu_2 	3         	18397.4/6132.45/2834.93/12727.1
fused_nn_conv2d_add_nn_relu_5 	1         	17650.1/17650.1/17650.1/17650.1
fused_nn_conv2d_add_add_nn_relu_1	4         	16348.3/4087.07/1190.83/12664.3
fused_cast_like_add_where_1   	274       	14007/51.1204/5.992/12054.6
fused_nn_conv2d_add_add_nn_relu_2	6         	13724.3/2287.38/1015.81/8621.36
fused_nn_conv2d_add_nn_relu_9 	1         	13614.9/13614.9/13614.9/13614.9
fused_scatter_1               	4         	13055.9/3263.97/2749.5/4214.77
fused_nn_max_pool2d           	1         	12068/12068/12068/12068
fused_nn_conv2d_add_nn_relu_13	1         	11189.6/11189.6/11189.6/11189.6
fused_scatter_3               	116       	8518.82/73.4381/54.188/290.758
fused_scatter_4               	116       	8150.43/70.2623/59.554/88.516
fused_dyn_full                	2         	7022.46/3511.23/1140.77/5881.69
fused_max_5                   	232       	6871.43/29.6182/6.859/4998.01
fused_nn_conv2d_add_nn_relu_17	1         	6223.88/6223.88/6223.88/6223.88
fused_nn_conv2d_add_7         	1         	6174.13/6174.13/6174.13/6174.13
