==245118== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version
File test_street_small.jpg exists, skip.
==245118== Profiling application: python maskrcnn_test.py
==245118== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
23.9774s  86.527us                    -               -         -         -         -  1.0300MB  11.624GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
23.9783s     832ns                    -               -         -         -         -       12B  13.755MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
23.9783s     576ns                    -               -         -         -         -       12B  19.868MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9350s  121.02us            (256 1 1)      (1024 1 1)        23        0B        0B         -           -           -           -  GeForce GTX 107         1         7  fused_split_squeeze_subtract_divide_expand_dims_image_resize_take_nn_pad_stack_kernel0 [144]
29.9353s  3.7760us                    -               -         -         -         -  36.750KB  9.2817GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9353s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9353s  830.94us           (2000 1 1)       (128 1 1)        96  9.6445KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_kernel0 [158]
29.9361s  249.76us           (2500 1 1)      (1024 1 1)        13        0B        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_max_pool2d_kernel0 [164]
29.9364s  1.9520us                    -               -         -         -         -  16.000KB  7.8170GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9364s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9364s  181.47us           (1250 1 1)        (64 1 1)        72  12.000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_1_kernel0 [178]
29.9366s  12.672us                    -               -         -         -         -  144.00KB  10.837GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9366s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9367s  764.51us            (250 1 1)       (128 1 1)       164  6.4688KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_2_kernel0 [192]
29.9374s  6.2080us                    -               -         -         -         -  64.000KB  9.8317GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9374s     640ns                    -               -         -         -         -  1.0000KB  1.4901GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9375s  463.13us           (1250 1 1)       (128 1 1)       139  9.0000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_kernel0 [206]
29.9379s  6.1120us                    -               -         -         -         -  64.000KB  9.9861GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9380s     640ns                    -               -         -         -         -  1.0000KB  1.4901GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9380s  626.53us           (1600 1 1)       (100 1 1)       128  10.250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_kernel0 [220]
29.9386s  6.1120us                    -               -         -         -         -  64.000KB  9.9861GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9386s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9386s  445.69us            (250 1 1)       (128 1 1)       168  3.5000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_3_kernel0 [234]
29.9391s  12.736us                    -               -         -         -         -  144.00KB  10.783GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9391s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9391s  752.41us            (250 1 1)       (128 1 1)       164  6.4688KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_2_kernel0 [247]
29.9399s  6.1760us                    -               -         -         -         -  64.000KB  9.8826GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9399s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9399s  624.80us           (1600 1 1)       (100 1 1)       128  10.250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_kernel0 [260]
29.9406s  6.1120us                    -               -         -         -         -  64.000KB  9.9861GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9406s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9406s  443.36us            (250 1 1)       (128 1 1)       168  3.5000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_3_kernel0 [273]
29.9410s  12.128us                    -               -         -         -         -  144.00KB  11.323GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9411s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9411s  755.80us            (250 1 1)       (128 1 1)       164  6.4688KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_2_kernel0 [286]
29.9418s  6.1760us                    -               -         -         -         -  64.000KB  9.8826GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9419s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9419s  623.04us           (1600 1 1)       (100 1 1)       128  10.250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_kernel0 [299]
29.9425s  11.072us                    -               -         -         -         -  128.00KB  11.025GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9425s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9425s  962.04us            (400 1 1)       (100 1 1)       168  8.2500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_4_kernel0 [313]
29.9436s  46.464us                    -               -         -         -         -  576.00KB  11.822GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9436s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9436s  911.96us            (200 1 1)       (160 1 1)       128  7.9453KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_5_kernel0 [327]
29.9446s  42.464us                    -               -         -         -         -  512.00KB  11.499GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
