==6532== Profiling application: python maskrcnn_test.py
==6532== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
24.9875s  87.744us                    -               -         -         -         -  1.0300MB  11.463GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
24.9880s     800ns                    -               -         -         -         -       12B  14.305MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
24.9880s     576ns                    -               -         -         -         -       12B  19.868MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1522s  121.28us            (256 1 1)      (1024 1 1)        23        0B        0B         -           -           -           -  GeForce GTX 107         1         7  fused_split_squeeze_subtract_divide_expand_dims_image_resize_take_nn_pad_stack_kernel0 [144]
31.1526s  3.8400us                    -               -         -         -         -  36.750KB  9.1270GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1526s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1526s  819.90us           (2000 1 1)       (128 1 1)        96  9.9258KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_kernel0 [158]
31.1535s  250.24us           (2500 1 1)      (1024 1 1)        13        0B        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_max_pool2d_kernel0 [164]
31.1537s  1.9520us                    -               -         -         -         -  16.000KB  7.8170GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1537s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1538s  180.13us           (1250 1 1)        (64 1 1)        72  12.000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_1_kernel0 [178]
31.1540s  12.128us                    -               -         -         -         -  144.00KB  11.323GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1540s     640ns                    -               -         -         -         -      256B  381.47MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1540s  763.00us            (250 1 1)       (128 1 1)       161  6.4688KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_2_kernel0 [192]
31.1548s  6.2080us                    -               -         -         -         -  64.000KB  9.8317GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1548s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1549s  467.39us           (1250 1 1)       (128 1 1)       139  9.0000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_kernel0 [206]
31.1554s  6.2080us                    -               -         -         -         -  64.000KB  9.8317GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1554s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1554s  632.41us           (1600 1 1)       (100 1 1)       128  10.250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_kernel0 [220]
31.1561s  6.2080us                    -               -         -         -         -  64.000KB  9.8317GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1561s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1561s  448.41us            (250 1 1)       (128 1 1)       168  3.5000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_3_kernel0 [234]
31.1566s  12.736us                    -               -         -         -         -  144.00KB  10.783GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1566s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1566s  766.94us            (250 1 1)       (128 1 1)       161  6.4688KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_2_kernel0 [247]
31.1574s  6.2400us                    -               -         -         -         -  64.000KB  9.7813GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1574s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1574s  630.75us           (1600 1 1)       (100 1 1)       128  10.250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_kernel0 [260]
31.1581s  6.5600us                    -               -         -         -         -  64.000KB  9.3041GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1581s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1581s  444.19us            (250 1 1)       (128 1 1)       168  3.5000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_3_kernel0 [273]
31.1586s  12.352us                    -               -         -         -         -  144.00KB  11.118GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1586s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1586s  755.23us            (250 1 1)       (128 1 1)       161  6.4688KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_2_kernel0 [286]
31.1594s  6.2400us                    -               -         -         -         -  64.000KB  9.7813GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1594s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1594s  625.76us           (1600 1 1)       (100 1 1)       128  10.250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_kernel0 [299]
31.1601s  11.104us                    -               -         -         -         -  128.00KB  10.993GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1601s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1601s  866.91us           (1000 1 1)       (128 1 1)        96  4.5000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_4_kernel0 [313]
31.1611s  46.592us                    -               -         -         -         -  576.00KB  11.790GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1611s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1612s  835.71us            (250 1 1)       (160 1 1)        85  10.477KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_5_kernel0 [327]
31.1620s  41.984us                    -               -         -         -         -  512.00KB  11.630GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1621s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1621s  914.84us           (2000 1 1)       (128 1 1)        56  5.2188KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_1_kernel0 [341]
31.1631s  21.440us                    -               -         -         -         -  256.00KB  11.387GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1631s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1631s  653.05us            (400 1 1)       (160 1 1)       168  13.500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_1_kernel0 [355]
31.1638s  21.504us                    -               -         -         -         -  256.00KB  11.353GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1638s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1638s  372.64us            (250 1 1)        (80 1 1)       128  4.5000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_6_kernel0 [369]
31.1643s  46.592us                    -               -         -         -         -  576.00KB  11.790GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1643s     640ns                    -               -         -         -         -      512B  762.94MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1644s  722.49us            (250 1 1)        (64 1 1)       128  9.7500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_7_kernel0 [383]
31.1651s  22.176us                    -               -         -         -         -  256.00KB  11.009GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1651s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1652s  649.02us            (400 1 1)       (160 1 1)       168  13.500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_1_kernel0 [396]
31.1658s  21.439us                    -               -         -         -         -  256.00KB  11.388GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1659s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1659s  375.90us            (250 1 1)        (80 1 1)       128  4.5000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_6_kernel0 [409]
31.1663s  46.912us                    -               -         -         -         -  576.00KB  11.710GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1664s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1664s  708.96us            (250 1 1)        (64 1 1)       128  9.7500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_7_kernel0 [422]
31.1671s  21.888us                    -               -         -         -         -  256.00KB  11.154GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1671s     768ns                    -               -         -         -         -  2.0000KB  2.4835GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1672s  637.37us            (400 1 1)       (160 1 1)       168  13.500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_1_kernel0 [435]
31.1678s  21.408us                    -               -         -         -         -  256.00KB  11.404GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1678s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1679s  374.72us            (250 1 1)        (80 1 1)       128  4.5000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_6_kernel0 [448]
31.1683s  46.656us                    -               -         -         -         -  576.00KB  11.774GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1683s     608ns                    -               -         -         -         -      512B  803.09MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1684s  715.61us            (250 1 1)        (64 1 1)       128  9.7500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_7_kernel0 [461]
31.1691s  21.248us                    -               -         -         -         -  256.00KB  11.490GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1691s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
