==3960== Profiling application: python maskrcnn_test.py
==3960== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
24.0507s  86.497us                    -               -         -         -         -  1.0300MB  11.628GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
24.0512s     704ns                    -               -         -         -         -       12B  16.256MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
24.0512s     576ns                    -               -         -         -         -       12B  19.868MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9937s  121.73us            (256 1 1)      (1024 1 1)        23        0B        0B         -           -           -           -  GeForce GTX 107         1         7  fused_split_squeeze_subtract_divide_expand_dims_image_resize_take_nn_pad_stack_kernel0 [144]
29.9939s  3.8400us                    -               -         -         -         -  36.750KB  9.1270GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9939s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9940s  846.19us           (2000 1 1)       (128 1 1)        96  9.6445KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_kernel0 [158]
29.9948s  249.96us           (2500 1 1)      (1024 1 1)        13        0B        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_max_pool2d_kernel0 [164]
29.9951s  1.9520us                    -               -         -         -         -  16.000KB  7.8170GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9951s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9951s  183.14us           (1250 1 1)        (64 1 1)        72  12.000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_1_kernel0 [178]
29.9953s  12.608us                    -               -         -         -         -  144.00KB  10.892GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9953s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9953s  768.30us            (250 1 1)       (128 1 1)       164  6.4688KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_2_kernel0 [192]
29.9961s  6.2400us                    -               -         -         -         -  64.000KB  9.7813GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9961s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9962s  470.28us           (1250 1 1)       (128 1 1)       139  9.0000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_kernel0 [206]
29.9966s  6.1120us                    -               -         -         -         -  64.000KB  9.9861GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9967s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9967s  627.08us           (1600 1 1)       (100 1 1)       128  10.250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_kernel0 [220]
29.9973s  6.1440us                    -               -         -         -         -  64.000KB  9.9341GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9973s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9973s  444.01us            (250 1 1)       (128 1 1)       168  3.5000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_3_kernel0 [234]
29.9978s  12.576us                    -               -         -         -         -  144.00KB  10.920GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9978s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9978s  771.78us            (250 1 1)       (128 1 1)       164  6.4688KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_2_kernel0 [247]
29.9986s  6.2080us                    -               -         -         -         -  64.000KB  9.8317GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9986s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9986s  627.18us           (1600 1 1)       (100 1 1)       128  10.250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_kernel0 [260]
29.9993s  6.1120us                    -               -         -         -         -  64.000KB  9.9861GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9993s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9993s  447.81us            (250 1 1)       (128 1 1)       168  3.5000KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_3_kernel0 [273]
29.9998s  12.545us                    -               -         -         -         -  144.00KB  10.947GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9998s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9998s  758.73us            (250 1 1)       (128 1 1)       164  6.4688KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_2_kernel0 [286]
30.0006s  6.2080us                    -               -         -         -         -  64.000KB  9.8317GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0006s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
