==7087== NVPROF is profiling process 7087, command: python maskrcnn_test.py
==7087== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torch/tensor.py:593: RuntimeWarning: Iterating over a tensor might cause the trace to be incorrect. Passing a tensor of different shape won't change the number of iterations executed (and might lead to errors or silently give incorrect results).
  'incorrect results).', category=RuntimeWarning)
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torch/nn/functional.py:3123: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  dtype=torch.float32)).float())) for i in range(dim)]
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/models/detection/anchor_utils.py:147: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  torch.tensor(image_size[1] // g[1], dtype=torch.int64, device=device)] for g in grid_sizes]
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/ops/boxes.py:128: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  boxes_x = torch.min(boxes_x, torch.tensor(width, dtype=boxes.dtype, device=boxes.device))
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/ops/boxes.py:130: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  boxes_y = torch.min(boxes_y, torch.tensor(height, dtype=boxes.dtype, device=boxes.device))
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/models/detection/transform.py:271: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  for s, s_orig in zip(new_size, original_size)
/home/masa/anaconda3/envs/torch-1.7/lib/python3.7/site-packages/torchvision/models/detection/roi_heads.py:372: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  return torch.tensor(M + 2 * padding).to(torch.float32) / torch.tensor(M).to(torch.float32)
File test_street_small.jpg exists, skip.
==7087== Profiling application: python maskrcnn_test.py
==7087== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.32625s  4.0000us                    -               -         -         -         -  36.750KB  8.7619GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32639s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32641s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32644s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32646s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32651s  1.9840us                    -               -         -         -         -  16.000KB  7.6909GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32656s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32658s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32660s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32662s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32667s  12.383us                    -               -         -         -         -  144.00KB  11.090GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32673s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32675s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32677s     576ns                    -               -         -         -         -      256B  423.86MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32679s     608ns                    -               -         -         -         -      256B  401.55MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32683s  6.2710us                    -               -         -         -         -  64.000KB  9.7329GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32688s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32690s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
2.32692s     640ns                    -               -         -         -         -  1.0000KB  1.4901GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
