scatter rank: 1
scatter rank: 4
scatter rank: 4
scatter rank: 1
scatter rank: 1

#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_split_squeeze_subtract_divide_expand_dims_image_resize_take_nn_pad_stack	1         	5.92373e+06/5.92373e+06/5.92373e+06/5.92373e+06
fused_nn_dense_add_nn_relu    	1         	313527/313527/313527/313527
fused_expand_dims_concatenate_1	58        	32522.9/560.74/43.84/1084.93
fused_nn_conv2d_add_nn_relu_20	4         	16164.2/4041.05/4022.43/4054.74
fused_nn_conv2d_transpose_add_nn_relu	1         	15818.5/15818.5/15818.5/15818.5
fused_scatter_1               	4         	13861.5/3465.38/2948.29/4383.43
fused_scatter_4               	116       	10830.7/93.3685/87.724/121.821
fused_scatter_3               	116       	10494.3/90.4685/83.092/120.344
fused_nn_conv2d_add_nn_relu_16	1         	8399.18/8399.18/8399.18/8399.18
fused_nn_conv2d_add_5         	1         	8109.48/8109.48/8109.48/8109.48
fused_dyn_full                	2         	7133.93/3566.97/1261.3/5872.64
fused_shape_of_4              	472       	4556.02/9.65258/8.951/17.488
fused_vision_non_max_suppression	2         	4551.66/2275.83/279.78/4271.88
fused_nn_conv2d_add_nn_relu_11	6         	4072.3/678.716/663.209/699.118
fused_cast_39                 	364       	3634.59/9.98513/9.031/23.89
fused_dyn_strided_slice_2     	243       	3606.08/14.8398/11.167/34.142
fused_dyn_full_1              	232       	2815.22/12.1346/1.724/23.423
fused_cast_like_add_where_1   	274       	2761.7/10.0792/9.2/17.164
fused_nn_conv2d_add_add_nn_relu_1	4         	2649.98/662.496/651.749/678.881
fused_nn_conv2d_add_add_nn_relu_2	6         	2638.14/439.69/436.446/448.571
fused_nn_conv2d_add_7         	1         	2602.67/2602.67/2602.67/2602.67
fused_max_5                   	232       	2533.47/10.9201/10.055/17.454
fused_nn_conv2d_add_nn_relu_7 	3         	2380.32/793.439/784.683/802.983
fused_nn_conv2d_add_nn_relu_2 	3         	2348.71/782.903/780.119/784.77
fused_vision_roi_align        	1         	2339.74/2339.74/2339.74/2339.74
fused_nn_conv2d_add_nn_relu_17	1         	2265.9/2265.9/2265.9/2265.9
fused_dyn_image_resize        	58        	2136.39/36.8342/30.822/336.973
fused_nn_conv2d_add_nn_relu_15	2         	2064.43/1032.22/1029.01/1035.42
fused_nn_conv2d_add_nn_relu_10	5         	2054.84/410.969/407.125/418.61
fused_reshape_reshape_concatenate_1	58        	1940.92/33.4642/29.425/40.531
fused_nn_conv2d_add_add_nn_relu	3         	1926.51/642.169/639.625/647.162
fused_scatter_2               	4         	1664.45/416.112/331.615/626.507
fused_nn_conv2d_add_19        	1         	1630.95/1630.95/1630.95/1630.95
fused_dyn_strided_slice_9     	116       	1494.98/12.8878/11.426/24.383
fused_subtract_add_concatenate	116       	1472.54/12.6943/9.033/315.237
fused_nn_conv2d_add_add_nn_relu_3	3         	1471.12/490.373/487.32/494.44
fused_dyn_strided_slice_7     	5         	1320.37/264.073/51.829/1025.82
fused_min_8                   	116       	1295.93/11.1718/10.482/17.691
fused_nn_conv2d_add_add_2     	1         	1264.07/1264.07/1264.07/1264.07
fused_nn_conv2d_add_3         	1         	1243.45/1243.45/1243.45/1243.45
fused_take_9                  	58        	1194.68/20.598/19.821/25.016
fused_take_13                 	58        	1182.05/20.3802/19.51/31.493
fused_expand_dims_concatenate 	116       	1179.25/10.166/9.546/14.429
fused_expand_dims_add_concatenate	116       	1174.33/10.1235/9.268/22.78
fused_nn_conv2d_add_nn_relu_6 	3         	1156.83/385.61/381.707/390.566
fused_subtract_expand_dims    	116       	1147.72/9.89416/9.216/16.189
fused_nn_conv2d_add_2         	1         	1134.07/1134.07/1134.07/1134.07
fused_expand_dims_26          	2         	1131.28/565.638/36.052/1095.22
fused_take_expand_dims_repeat_repeat	58        	1127.25/19.4353/18.951/24.602
fused_nn_conv2d_add_nn_relu_13	1         	1121.03/1121.03/1121.03/1121.03
fused_reshape_reshape_concatenate	58        	1017.09/17.536/16.835/22.403
fused_argwhere_1              	10        	1009.92/100.992/1.644/126.423
fused_nn_conv2d_add_nn_relu_12	1         	994.551/994.551/994.551/994.551
fused_nn_conv2d_add_nn_relu_14	2         	989.477/494.738/490.952/498.525
fused_vision_roi_align_1      	1         	985.919/985.919/985.919/985.919
fused_nn_conv2d_add_nn_relu_4 	1         	977.026/977.026/977.026/977.026
fused_nn_conv2d_add_nn_relu_8 	1         	971.292/971.292/971.292/971.292
fused_nn_conv2d_add_nn_relu_9 	1         	970.958/970.958/970.958/970.958
fused_nn_conv2d_add_add_1     	1         	929.898/929.898/929.898/929.898
fused_nn_conv2d_add_nn_relu_5 	1         	928.323/928.323/928.323/928.323
fused_nn_conv2d_add_1         	1         	927.925/927.925/927.925/927.925
fused_nn_conv2d_add_nn_relu_3 	2         	917.173/458.587/454.846/462.327
fused_full_2                  	58        	894.314/15.4192/9.599/316.925
fused_nn_conv2d_add_nn_relu   	1         	867.613/867.613/867.613/867.613
fused_nn_conv2d_add_9         	1         	860.435/860.435/860.435/860.435
fused_take_14                 	58        	705.374/12.1616/11.694/16.466
fused_shape_of_11             	60        	680.452/11.3409/10.66/17.623
fused_add_17                  	58        	678.199/11.6931/10.737/23.801
fused_topk                    	1         	666.473/666.473/666.473/666.473
fused_subtract_expand_dims_cast_concatenate_cast_like_less_cast_like_add_where	58        	644.996/11.1206/10.367/16.248
fused_divide_expand_dims_multiply_expand_dims_add_divide_clip_exp_expand_dims_mu_4615394520124750845_	1         	636.471/636.471/636.471/636.471
fused_take_7                  	58        	622.664/10.7356/10.237/15.735
fused_subtract_expand_dims_cast_concatenate_cast_like_less_cast_like_add_where_1	58        	616.692/10.6326/10.065/17.607
fused_take_expand_dims_cast   	58        	610.166/10.5201/9.832/16.422
fused_subtract_expand_dims_cast_concatenate_1	58        	607.545/10.4749/9.893/15.11
fused_take_expand_dims_cast_1 	58        	605.889/10.4464/9.882/15.084
fused_subtract_expand_dims_cast_concatenate	58        	604.668/10.4253/9.851/14.591
fused_take_less               	59        	604.245/10.2414/9.635/15.109
fused_expand_dims_cast_concatenate_1	58        	603.355/10.4027/9.889/16.341
fused_expand_dims_cast_concatenate	58        	598.863/10.3252/9.841/14.773
fused_take_10                 	58        	598.556/10.3199/9.819/18.714
fused_expand_dims_expand_dims_concatenate	58        	597.83/10.3074/9.838/15.007
